account length,area code,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,charge_per_min,high_service_user,day_night_ratio,Actual_Churn,Churn_Probability,Predicted_Churn,Net_Impact_KES
113,510,0,0,0,155.0,93,26.35,330.6,106,28.1,189.4,123,8.52,13.5,3,3.65,1,0.16998903296561513,0,0.8183306055646481,0,0.46153846153846156,0,0
67,415,0,0,0,109.1,117,18.55,217.4,124,18.48,188.4,141,8.48,12.8,6,3.46,0,0.17001191458161488,0,0.5790563133591635,0,0.46153846153846156,0,0
98,415,0,0,0,0.0,0,0.0,159.6,130,13.57,167.1,88,7.52,6.8,1,1.84,4,0.0,1,0.0,1,0.46153846153846156,0,-400
147,408,0,0,0,212.8,79,36.18,204.1,91,17.35,156.2,113,7.03,10.2,2,2.75,1,0.1700108077627931,0,1.3622687407976444,0,0.46153846153846156,0,0
96,408,0,0,0,144.0,102,24.48,224.7,73,19.1,227.7,91,10.25,10.0,7,2.7,1,0.16998819526421777,0,0.6323832945413026,0,0.46153846153846156,0,0
119,408,0,1,26,132.0,100,22.44,173.3,121,14.73,203.5,108,9.16,11.6,5,3.13,1,0.16998712218771309,0,0.6486167755884232,0,0.17578125,0,0
116,510,0,0,0,160.7,69,27.32,146.8,106,12.48,287.8,144,12.95,8.2,5,2.21,0,0.16999564432829323,0,0.5583544699628227,0,0.46153846153846156,0,0
114,415,0,1,32,125.2,79,21.28,177.8,105,15.11,232.4,89,10.46,12.9,3,3.48,1,0.16995447647951442,0,0.5387031539090401,0,0.17578125,0,0
130,510,0,0,0,203.9,63,34.66,191.8,93,16.3,132.5,125,5.96,12.1,4,3.27,3,0.16997695061546758,0,1.538751792317561,0,0.46153846153846156,0,0
78,415,0,0,0,147.1,80,25.01,199.7,100,16.97,160.7,106,7.23,13.7,7,3.7,0,0.17000883692475022,0,0.9153132972434821,0,0.46153846153846156,0,0
182,415,0,0,0,69.1,114,11.75,230.3,109,19.58,256.7,96,11.55,6.5,4,1.76,0,0.17001881059181015,0,0.26917533403451366,0,0.46153846153846156,0,0
43,415,0,0,0,27.0,117,4.59,160.9,97,13.68,279.5,96,12.58,10.7,3,2.89,3,0.16993706034801923,0,0.09659761725877429,0,0.46153846153846156,0,0
152,415,0,0,0,141.5,102,24.06,263.0,94,22.36,207.1,113,9.32,3.4,4,0.92,2,0.17002331990672037,0,0.6832118198059003,0,0.46153846153846156,0,0
115,415,0,0,0,286.4,125,48.69,205.7,74,17.48,191.4,141,8.61,6.9,6,1.86,1,0.17000104744946057,0,1.4962645629799904,1,0.46153846153846156,0,-400
122,510,0,1,33,270.8,96,46.04,220.4,110,18.73,169.9,104,7.65,11.8,8,3.19,4,0.17000849303940033,1,1.593784944970867,0,0.17578125,0,0
69,415,0,0,0,228.2,70,38.79,263.7,80,22.41,142.6,60,6.42,10.7,5,2.89,3,0.16997502300512687,0,1.6001682911436788,0,0.46153846153846156,0,0
12,415,0,0,0,204.6,98,34.78,212.5,90,18.06,182.1,95,8.19,9.8,7,2.65,2,0.16998191681735988,0,1.1234967876558124,0,0.46153846153846156,0,0
24,408,0,0,0,265.6,86,45.15,208.8,102,17.75,182.5,105,8.21,11.1,6,3.0,2,0.16998606980158878,0,1.4552627253301191,1,0.46153846153846156,0,-400
68,408,0,0,0,237.1,105,40.31,223.5,105,19.0,97.4,79,4.38,13.2,2,3.56,1,0.17000548268736032,0,2.4340416794990243,0,0.46153846153846156,0,0
104,408,0,0,0,170.6,97,29.0,162.1,111,13.78,210.7,131,9.48,6.1,1,1.65,1,0.16997831311177541,0,0.8096435859712402,0,0.46153846153846156,0,0
33,415,0,0,0,213.9,88,36.36,239.8,119,20.38,148.7,71,6.69,9.8,14,2.65,2,0.16997802814267682,0,1.4383699818438573,0,0.0845771144278607,0,0
31,510,0,0,0,165.4,84,28.12,203.7,107,17.31,201.7,65,9.08,8.2,1,2.21,1,0.17000181367511033,0,0.8199890932526896,0,0.46153846153846156,0,0
154,408,0,1,35,64.9,76,11.03,184.1,91,15.65,151.6,75,6.82,14.6,1,3.94,1,0.16992759205053146,0,0.4280720269111537,0,0.17578125,0,0
48,408,0,0,0,275.2,67,46.78,180.2,108,15.32,159.0,110,7.15,7.9,2,2.13,1,0.16997928854329422,0,1.7307087604553173,0,0.46153846153846156,0,0
93,408,0,0,0,114.3,100,19.43,221.1,103,18.79,126.3,88,5.68,10.9,9,2.94,0,0.1699763800192459,0,0.904916475338453,0,0.46153846153846156,0,0
86,510,0,1,29,157.2,118,26.72,196.3,136,16.69,226.7,109,10.2,8.4,5,2.27,3,0.1699637427644552,0,0.6933968506020908,0,0.17578125,0,0
101,415,0,1,28,105.9,132,18.0,231.7,107,19.69,281.3,120,12.66,10.7,5,2.89,1,0.1699556226985176,0,0.3764530233550176,0,0.17578125,0,0
50,408,0,0,0,301.7,82,51.29,167.1,118,14.2,72.2,89,3.25,10.5,6,2.84,1,0.16999767989128634,0,4.178091677053039,0,0.46153846153846156,0,0
74,510,0,1,31,249.4,70,42.4,209.5,59,17.81,180.6,75,8.13,9.9,2,2.67,4,0.17000120283869932,1,1.3808759204916672,0,0.17578125,0,0
165,415,0,0,0,216.6,126,36.82,190.8,104,16.22,224.7,123,10.11,12.4,8,3.35,0,0.1699829186094825,0,0.9639090383160519,0,0.46153846153846156,0,0
92,510,0,1,29,155.4,110,26.42,188.5,104,16.02,254.9,118,11.47,8.0,4,2.16,3,0.17000193037771058,0,0.6096269271507592,0,0.17578125,0,0
60,408,0,0,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,0.16998322832147228,0,0.8859081964579736,0,0.46153846153846156,0,0
58,510,0,0,0,234.8,89,39.92,106.8,131,9.08,178.5,122,8.03,9.9,6,2.67,0,0.1700097951535284,0,1.3153324743711838,0,0.46153846153846156,0,0
105,510,0,0,0,125.4,116,21.32,261.5,95,22.23,241.6,104,10.87,11.4,9,3.08,2,0.17000239215373572,0,0.5190182525557717,0,0.46153846153846156,0,0
163,408,0,0,0,197.0,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,0.16999137099639614,0,0.9544111234920789,0,0.46153846153846156,0,0
189,408,0,0,0,227.4,84,38.66,176.0,81,14.96,206.1,120,9.27,6.3,4,1.7,2,0.17000131920320125,0,1.1032943573819807,0,0.46153846153846156,0,0
148,408,0,0,0,17.6,121,2.99,161.7,125,13.74,203.1,82,9.14,10.6,6,2.86,1,0.16978989210675752,0,0.08665255280389937,0,0.46153846153846156,0,0
93,415,0,1,32,116.9,120,19.87,232.4,97,19.75,127.7,112,5.75,11.0,9,2.97,0,0.16995979813531775,0,0.915355101401613,0,0.17578125,0,0
78,415,0,0,0,103.5,115,17.6,117.9,102,10.02,201.0,94,9.05,12.0,3,3.24,4,0.17003188097768332,1,0.5148997562310333,1,0.46153846153846156,0,-400
209,415,0,0,0,227.2,128,38.62,258.4,92,21.96,183.5,74,8.26,8.9,4,2.4,3,0.16997491307600898,0,1.2380796686829056,0,0.46153846153846156,0,0
104,408,0,0,0,138.7,107,23.58,256.9,113,21.84,234.9,74,10.57,10.0,3,2.7,0,0.16999495350010815,0,0.590438891490358,0,0.46153846153846156,0,0
116,415,0,1,17,193.4,112,32.88,240.6,131,20.45,248.1,98,11.16,11.4,3,3.08,5,0.17000155110904297,1,0.7794929668292291,0,0.17578125,0,0
142,415,0,0,0,232.5,74,39.53,181.8,142,15.45,203.1,86,9.14,10.4,6,2.81,4,0.17001419293793815,1,1.1446999163015117,0,0.46153846153846156,0,0
111,415,0,0,0,255.9,97,43.5,204.1,129,17.35,171.3,84,7.71,12.3,5,3.32,3,0.16998163416826229,0,1.493783200046699,0,0.46153846153846156,0,0
63,408,0,0,0,211.7,107,35.99,271.7,77,23.09,203.3,108,9.15,7.4,7,2.0,0,0.16999669359028863,0,1.0412670306428606,0,0.46153846153846156,0,0
94,415,0,0,0,181.3,135,30.82,182.4,108,15.5,180.6,103,8.13,6.7,2,1.81,0,0.16998510837791628,0,1.0038203864680806,0,0.46153846153846156,0,0
93,415,0,0,0,271.1,101,46.09,237.4,133,20.18,145.4,103,6.54,8.4,6,2.27,1,0.17000479510161928,0,1.8643834674369026,1,0.46153846153846156,0,-400
174,408,0,1,33,167.8,91,28.53,205.3,91,17.45,130.0,132,5.85,14.5,4,3.92,4,0.1700137059769978,1,1.2906699484655029,1,0.17578125,0,-400
47,415,0,1,27,165.0,89,28.05,127.3,118,10.82,284.4,95,12.8,7.7,4,2.08,2,0.16998969759408522,0,0.5801483773425689,0,0.17578125,0,0
76,510,0,0,0,186.1,96,31.64,211.6,100,17.99,230.6,100,10.38,8.0,4,2.16,0,0.17000698511632906,0,0.8069901565413469,0,0.46153846153846156,0,0
132,415,0,0,0,83.4,110,14.18,232.2,137,19.74,146.7,114,6.6,7.6,5,2.05,1,0.1700035966910442,0,0.5684684070615501,0,0.46153846153846156,0,0
98,510,0,0,0,271.4,119,46.14,190.4,102,16.18,284.7,118,12.81,11.1,6,3.0,4,0.17000110533878637,1,0.953250676126585,1,0.46153846153846156,0,-400
142,415,0,0,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,0.17002711944346185,0,0.33850944074088857,0,0.46153846153846156,0,0
96,415,0,1,23,183.1,88,31.13,147.4,89,12.53,350.2,108,15.76,11.3,7,3.05,1,0.17000709955764295,0,0.5228291596470689,0,0.17578125,0,0
99,408,0,0,0,54.8,92,9.32,173.0,103,14.71,195.1,125,8.78,7.5,3,2.03,1,0.17004196314541145,0,0.2808672031161909,0,0.46153846153846156,0,0
168,408,0,0,0,163.4,134,27.78,240.1,87,20.41,164.0,147,7.38,11.6,2,3.13,2,0.1700018358729576,0,0.9962807145905739,1,0.46153846153846156,0,-400
103,415,0,0,0,129.3,103,21.98,202.8,89,17.24,233.0,126,10.49,12.9,2,3.48,2,0.16997911994431986,0,0.5549118063602421,0,0.46153846153846156,0,0
114,415,0,0,0,84.7,118,14.4,249.9,86,21.24,193.4,95,8.7,14.5,8,3.92,1,0.16999173651280838,0,0.43792978646398845,0,0.46153846153846156,0,0
147,408,0,0,0,168.6,92,28.66,187.7,107,15.95,216.5,95,9.74,14.4,8,3.89,2,0.16997805586857245,0,0.7787169183871415,0,0.46153846153846156,0,0
113,415,0,1,23,205.0,101,34.85,152.0,60,12.92,158.6,59,7.14,10.2,5,2.75,2,0.16999170772157457,0,1.2924784061534582,0,0.17578125,0,0
92,415,1,1,45,281.1,88,47.79,198.0,103,16.83,94.3,76,4.24,7.5,3,2.03,0,0.1700046245242076,0,2.980595907114834,0,1.0,1,-100
152,415,0,0,0,206.3,98,35.07,292.8,82,24.89,43.7,121,1.97,10.6,4,2.86,1,0.16998691289806603,0,4.7197437657286665,0,0.46153846153846156,0,0
86,415,0,1,38,123.0,158,20.91,133.9,119,11.38,138.2,103,6.22,13.3,4,3.59,1,0.16998617998536703,0,0.8899500759713481,0,0.17578125,0,0
73,415,0,1,31,194.4,104,33.05,176.0,84,14.96,230.1,110,10.35,11.5,3,3.11,0,0.1700015431304974,0,0.8448133501368912,0,0.17578125,0,0
71,510,0,0,0,185.0,84,31.45,232.5,129,19.76,191.1,82,8.6,14.9,4,4.02,3,0.1699908113074969,0,0.9680288838888599,0,0.46153846153846156,0,0
138,408,0,0,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,0.17000951160001654,0,0.8188005824387932,0,0.46153846153846156,0,0
184,408,0,0,0,151.7,93,25.79,178.5,77,15.17,229.1,111,10.31,13.1,8,3.54,2,0.1699953859336893,0,0.6621273624023395,0,0.46153846153846156,0,0
164,510,0,1,30,238.8,100,40.6,230.0,121,19.55,206.3,66,9.28,13.2,8,3.56,1,0.1700096310874754,0,1.157481459938927,0,0.17578125,0,0
60,415,1,0,0,205.9,97,35.0,277.4,117,23.58,202.0,139,9.09,11.0,2,2.97,0,0.16997717449371086,0,1.019256472451859,1,1.0,1,60
100,510,0,0,0,247.8,117,42.13,130.0,95,11.05,134.3,125,6.04,6.9,2,1.86,1,0.17000928130422502,0,1.8449854813491178,0,0.46153846153846156,0,0
126,415,0,0,0,249.8,96,42.47,261.9,92,22.26,166.8,108,7.51,12.7,4,3.43,3,0.17000920699731795,0,1.4975121395599784,1,0.46153846153846156,0,-400
121,415,0,0,0,134.1,112,22.8,195.1,104,16.58,159.6,139,7.18,10.5,2,2.84,2,0.17000969353515774,0,0.8401729214961469,0,0.46153846153846156,0,0
27,408,0,0,0,201.2,128,34.2,227.2,100,19.31,145.8,91,6.56,8.4,3,2.27,2,0.169971671388102,0,1.3798779233248748,0,0.46153846153846156,0,0
54,415,0,0,0,272.6,83,46.34,248.7,74,21.14,197.4,111,8.88,9.5,2,2.57,1,0.16998642749715712,0,1.380882427435287,1,0.46153846153846156,0,-400
